Loyalty#,First Name,Last Name,Customer Name,Latitude,Longitude,Postal code,Income,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,log_CLV,relation_inc_clv,Months_Enrolled,Is_Active,Total_Flights,Total_Flights_With_Companions,Total_DistanceKM,Total_Points_Accumulated,Total_Points_Redeemed,Flights_Variance,Did_Travel,Solo_Travels,Only_Travel_With_Companions,Recency,Distance_Per_Flight,Winter_Flights,Spring_Flights,Summer_Flights,Autumn_Flights,Total_Flights_With_Companions_Ratio,Winter_Flights_Ratio,Spring_Flights_Ratio,Summer_Flights_Ratio,Autumn_Flights_Ratio,Frequency,Country_Canada,Province or State_Alberta,Province or State_British Columbia,Province or State_Manitoba,Province or State_New Brunswick,Province or State_Newfoundland,Province or State_Nova Scotia,Province or State_Ontario,Province or State_Prince Edward Island,Province or State_Quebec,Province or State_Saskatchewan,Province or State_Yukon,City_Banff,City_Calgary,City_Charlottetown,City_Dawson Creek,City_Edmonton,City_Fredericton,City_Halifax,City_Hull,City_Kelowna,City_Kingston,City_London,City_Moncton,City_Montreal,City_Ottawa,City_Peace River,City_Quebec City,City_Regina,City_St. John's,City_Sudbury,City_Thunder Bay,City_Toronto,City_Tremblant,City_Trenton,City_Vancouver,City_Victoria,City_West Vancouver,City_Whistler,City_Whitehorse,City_Winnipeg,Gender_female,Gender_male,Education_Bachelor,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Location Code_Rural,Location Code_Suburban,Location Code_Urban,Marital Status_Divorced,Marital Status_Married,Marital Status_Single,LoyaltyStatus_Aurora,LoyaltyStatus_Nova,LoyaltyStatus_Star,EnrollmentType_2021 Promotion,EnrollmentType_Standard,Income_Bins_High,Income_Bins_Low,Income_Bins_Medium,Preferred_Season_Autumn_Flights,Preferred_Season_Non_Travel,Preferred_Season_Spring_Flights,Preferred_Season_Summer_Flights,Preferred_Season_Winter_Flights,CLV_Bins_High,CLV_Bins_Low,CLV_Bins_Medium
480934,Cecilia,Householder,Cecilia Householder,0.03767991951405314,0.676108482215798,M2Z 4K1,0.7015933027275183,2019-02-15,2021-12-31,0.03414124170468238,0.20517704209283227,0.020173617023964682,0.6805555555555556,1.0,0.3524904214559387,0.37857142857142856,0.48485675181722715,0.4848712144563367,0.24826672984493775,0.5006021423591304,1.0,0.33080808080808083,0.0,0.0,0.06283350819066923,0.11971830985915494,0.2857142857142857,0.386046511627907,0.2602739726027397,0.28804347826086957,0.09239130434782608,0.25,0.45108695652173914,0.20652173913043478,0.02042175360710322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
549612,Dayle,Menez,Dayle Menez,0.5953601051495396,0.26189936585988205,T3G 6Y6,0.0,2019-03-09,2021-12-31,0.03414950822140265,0.20521270130073432,0.0,0.673611111111111,1.0,0.4789272030651341,0.16428571428571428,0.38700231185650485,0.38696956531011717,0.15972348486935506,0.5964107366744863,1.0,0.5732323232323233,0.0,0.0,0.03691214085553963,0.36619718309859156,0.515527950310559,0.2697674418604651,0.3904109589041096,0.092,0.208,0.332,0.232,0.228,0.028587764436821043,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
429460,Necole,Hannon,Necole Hannon,0.3550807543234584,0.14495363380632398,V6E 3D9,0.0,2017-07-14,2021-01-08,0.03415197058808527,0.2052233223489215,0.0,0.736111111111111,0.0,0.2222222222222222,0.2642857142857143,0.22794033063650213,0.22792482473894346,0.10063710878600382,0.3344108512391456,1.0,0.1994949494949495,0.0,0.11,0.04685531569850551,0.20422535211267606,0.22981366459627328,0.09302325581395349,0.2054794520547945,0.31896551724137934,0.25,0.31896551724137934,0.1724137931034483,0.25862068965517243,0.010422282120395327,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
608370,Queen,Hagee,Queen Hagee,0.03767991951405314,0.676108482215798,P1W 1K4,0.0,2016-02-17,2021-12-31,0.03415197058808527,0.2052233223489215,0.0,0.9305555555555556,1.0,0.36590038314176243,0.39285714285714285,0.3691294818456106,0.3691150917359641,0.29994067854197776,0.44246371299993664,1.0,0.3434343434343435,0.0,0.0,0.04608303243257911,0.33098591549295775,0.40993788819875776,0.16744186046511628,0.2876712328767123,0.2879581151832461,0.24607329842931938,0.34554973821989526,0.18848167539267016,0.2198952879581152,0.010296495956873316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
530508,Claire,Latting,Claire Latting,0.1377858380998389,0.7206753033987967,J8Y 3Z5,0.9785059161240637,2017-10-25,2021-12-31,0.03420543912176526,0.2054538553976526,0.01447832939851777,0.7916666666666666,1.0,0.31992337164750956,0.42142857142857143,0.353077679889392,0.3530570541529241,0.0,0.5786112695696267,1.0,0.27272727272727276,0.0,0.0,0.05041380494038975,0.2605633802816901,0.17391304347826086,0.3302325581395349,0.21232876712328766,0.3532934131736527,0.2215568862275449,0.16766467065868262,0.4251497005988024,0.18562874251497005,0.01260377358490566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
927943,Hue,Sellner,Hue Sellner,0.03767991951405314,0.676108482215798,P5S 6R4,0.0,2017-06-09,2021-12-31,0.034472078256827306,0.2066007723875649,0.0,0.8194444444444444,1.0,0.367816091954023,0.22857142857142856,0.49658174751184025,0.4965912760959728,0.3966585306276872,0.6377638334284085,1.0,0.4040404040404041,0.0,0.0,0.061671598810851165,0.26760563380281693,0.21739130434782608,0.3023255813953488,0.3698630136986301,0.16666666666666666,0.19791666666666666,0.18229166666666666,0.3385416666666667,0.28125,0.013417190775681341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
188893,Nakia,Cash,Nakia Cash,0.06293343400842488,0.6980514440702621,K8V 4B2,0.9328972504775908,2019-12-08,2021-12-31,0.03453434095723098,0.20686793916645208,0.015260064118786843,0.611111111111111,1.0,0.40421455938697315,0.45,0.4105034610912074,0.41050867236551813,0.144683750511946,0.5352570197122395,1.0,0.37373737373737376,0.0,0.02,0.04639060662225498,0.17605633802816903,0.4161490683229813,0.32558139534883723,0.3356164383561644,0.2985781990521327,0.11848341232227488,0.3175355450236967,0.33175355450236965,0.23222748815165878,0.03317610062893082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
852392,Arlene,Conterras,Arlene Conterras,0.14189944398662568,0.7467379694288839,H2Y 2W2,0.9328972504775908,2018-05-30,2021-12-31,0.03453434095723098,0.20686793916645208,0.015260064118786843,0.7430555555555556,1.0,0.2796934865900383,0.37857142857142856,0.33895935762575585,0.33895287023781645,0.35709681151754574,0.5144831083222412,1.0,0.23484848484848486,0.0,0.01,0.05535928290625839,0.1619718309859155,0.5838509316770186,0.09302325581395349,0.06164383561643835,0.363013698630137,0.15753424657534246,0.6438356164383562,0.136986301369863,0.06164383561643835,0.012812637121544537,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
866307,Dustin,Recine,Dustin Recine,0.03767991951405314,0.676108482215798,M8Y 4K8,0.9328972504775908,2019-10-14,2021-12-31,0.03453434095723098,0.20686793916645208,0.015260064118786843,0.625,1.0,0.41379310344827586,0.4714285714285714,0.2910748492827718,0.29104873932445635,0.3953306849883653,0.6719908727895038,1.0,0.37878787878787884,0.0,0.01,0.032132655197419195,0.1971830985915493,0.5341614906832298,0.2697674418604651,0.3013698630136986,0.3055555555555556,0.12962962962962962,0.39814814814814814,0.26851851851851855,0.2037037037037037,0.03134978229317852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
932823,Jeremy,Dickason,Jeremy Dickason,0.3550807543234584,0.14495363380632398,V6E 3D9,0.47207969514207704,2018-03-17,2021-12-31,0.03456635172410518,0.20700520080783136,0.03017029065181237,0.7569444444444444,1.0,0.4521072796934866,0.37142857142857144,0.4124896285835234,0.4124635780349359,0.14059185551276332,0.47055840780883573,1.0,0.4646464646464647,0.0,0.01,0.04167702534734542,0.24647887323943662,0.3416149068322981,0.31627906976744186,0.5342465753424657,0.22033898305084745,0.1483050847457627,0.2330508474576271,0.288135593220339,0.3305084745762712,0.01979035639412998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
